"id","fdc_id","fdc_of_input_food","seq_num","amount","sr_code","sr_description","unit","portion_code","portion_description","gram_weight","retention_code","survey_flag"
"113050","2343162","","7","150.0","1123","Eggs, Grade A, Large, egg whole","GM","0","NONE","150.0","101",""
"113044","2343162","","1","1.0","18375","Leavening agents, yeast, baker's, active dry","","62993","1/4 oz package","7.0","0",""
"113047","2343162","","4","1.0","2047","Salt, table, iodized","TS","10205","1 cup","6.0","0",""
"113045","2343162","","2","170.25","1145","Butter, stick, unsalted","GM","0","NONE","170.25","0",""
"113049","2343162","","6","0.3333","1077","Milk, whole, 3.25% milkfat, with added vitamin D","C","10205","1 cup","81.325","2152",""
"113048","2343162","","5","2.0","20081","Flour, wheat, all-purpose, enriched, bleached","C","10205","1 cup","250.0","301",""
"113046","2343162","","3","1.0","19335","Sugars, granulated","TB","10205","1 cup","12.5","0",""
"113053","2343163","","3","15.0","1123","Eggs, Grade A, Large, egg whole","GM","0","NONE","15.0","101",""
"113051","2343163","","1","100.0","20081","Flour, wheat, all-purpose, enriched, bleached","GM","0","NONE","100.0","301",""
"113054","2343163","","4","12.0","82104000","Olive oil","GM","0","NONE","12.0","0",""
"113055","2343163","","5","6.0","18374","Leavening agents, yeast, baker's, compressed","GM","0","NONE","6.0","301",""
"113056","2343163","","6","25.0","14429","Beverages, water, tap, municipal","GM","0","NONE","25.0","0",""
"113052","2343163","","2","20.0","19335","Sugars, granulated","GM","0","NONE","20.0","0",""
"113057","2343164","","1","100.0","18001","Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)","GM","0","NONE","100.0","0",""
"113058","2343165","","1","90.0","18001","Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)","GM","0","NONE","90.0","0",""
"113059","2343165","","2","10.0","9298","Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)","GM","0","NONE","10.0","0",""
"113060","2343166","","1","90.0","18001","Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)","GM","0","NONE","90.0","0",""
"113061","2343166","","2","10.0","9054","Blueberries, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)","GM","0","NONE","10.0","151",""
"113063","2343167","","2","1.667","14429","Beverages, water, tap, municipal","C","10205","1 cup","395.079","0",""
"113064","2343167","","3","0.25","81102010","Margarine, stick","C","10205","1 cup","56.0","0",""
"113062","2343167","","1","6.0","18081","Bread, stuffing, dry mix","WO","0","NONE","170.1","301",""
"113065","2343168","","1","94.0","18082","Bread, stuffing, dry mix, prepared","GM","0","NONE","94.0","0",""
"113066","2343168","","2","6.0","1123","Eggs, Grade A, Large, egg whole","GM","0","NONE","6.0","101",""
"113067","2343169","","1","100.0","51184210","Breadsticks, soft, fast food / restaurant","GM","0","NONE","100.0","0",""
"113068","2343170","","1","100.0","18080","Bread, sticks, plain","GM","0","NONE","100.0","0",""
"113073","2343171","","5","1.0","18374","Leavening agents, yeast, baker's, compressed","GM","0","NONE","1.0","0",""
"113072","2343171","","4","1.3","19350","Syrups, corn, light","GM","0","NONE","1.3","0",""
"113070","2343171","","2","44.45","20083","Flour, bread, white, enriched, unbleached","GM","0","NONE","44.45","301",""
"113069","2343171","","1","44.45","20081","Flour, wheat, all-purpose, enriched, bleached","GM","0","NONE","44.45","301",""
"113071","2343171","","3","8.8","82101000","Vegetable oil, NFS","GM","0","NONE","8.8","0",""
"113074","2343172","","1","100.0","51184210","Breadsticks, soft, fast food / restaurant","GM","0","NONE","100.0","0",""
"113076","2343173","","2","0.2","2047","Salt, table, iodized","GM","0","NONE","0.2","0",""
"113075","2343173","","1","100.0","21520","Fast foods, breadstick, soft, prepared with garlic and parmesan cheese","GM","0","NONE","100.0","0",""
"113077","2343174","","1","60.0","21520","Fast foods, breadstick, soft, prepared with garlic and parmesan cheese","GM","0","NONE","60.0","0",""
"113078","2343174","","2","40.0","18069","Bread, white, commercially prepared","GM","0","NONE","40.0","304",""
"113080","2343175","","2","0.2","2047","Salt, table, iodized","GM","0","NONE","0.2","0",""
"113079","2343175","","1","100.0","21520","Fast foods, breadstick, soft, prepared with garlic and parmesan cheese","GM","0","NONE","100.0","0",""
"113081","2343175","","3","2.0","1032","Cheese, parmesan, grated","GM","0","NONE","2.0","7",""
"113082","2343176","","1","100.0","21520","Fast foods, breadstick, soft, prepared with garlic and parmesan cheese","GM","0","NONE","100.0","0",""
"113084","2343176","","3","25.0","1029","Cheese, mozzarella, low moisture, part-skim","GM","0","NONE","25.0","7",""
"113083","2343176","","2","0.2","2047","Salt, table, iodized","GM","0","NONE","0.2","0",""
"113085","2343177","","1","100.0","18243","Croutons, seasoned","GM","0","NONE","100.0","0",""
"113086","2343178","","1","100.0","18258","Muffins, English, plain, enriched, with ca prop (includes sourdough)","GM","0","NONE","100.0","0",""
"113087","2343179","","1","90.0","18258","Muffins, English, plain, enriched, with ca prop (includes sourdough)","GM","0","NONE","90.0","0",""
"113088","2343179","","2","10.0","9298","Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)","GM","0","NONE","10.0","0",""
"113090","2343180","","2","5.0","1009","Cheese, cheddar","GM","0","NONE","5.0","1",""
"113089","2343180","","1","95.0","18258","Muffins, English, plain, enriched, with ca prop (includes sourdough)","GM","0","NONE","95.0","0",""
"113091","2343181","","1","90.0","18258","Muffins, English, plain, enriched, with ca prop (includes sourdough)","GM","0","NONE","90.0","0",""
"113092","2343181","","2","10.0","9050","Blueberries, raw","GM","0","NONE","10.0","151",""
"113093","2343182","","1","100.0","18220","Crackers, melba toast, plain","GM","0","NONE","100.0","0",""
"113094","2343183","","1","100.0","3217","Zwieback","GM","0","NONE","100.0","0",""
"113097","2343184","","3","2.0","1001","Butter, stick, salted","WO","0","NONE","56.7","0",""
"113098","2343184","","4","2.0","19335","Sugars, granulated","WO","0","NONE","56.7","0",""
"113099","2343184","","5","34.0","1125","Eggs, Grade A, Large, egg yolk","GM","0","NONE","34.0","101",""
"113104","2343184","","10","1.0","2047","Salt, table, iodized","TS","10205","1 cup","6.0","0",""
"113100","2343184","","6","1.0","1077","Milk, whole, 3.25% milkfat, with added vitamin D","C","10205","1 cup","244.0","2151",""
"113096","2343184","","2","1.0","18375","Leavening agents, yeast, baker's, active dry","WO","0","NONE","28.35","0",""
"113103","2343184","","9","2.0","9156","Lemon peel, raw","TS","21000","1 tablespoon","4.0","0",""
"113102","2343184","","8","1.0","9426","Candied fruit","","62389","1/2 cup","84.0","251",""
"113101","2343184","","7","3.0","9298","Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)","TB","10206","1 cup  (not packed)","27.188","251",""
"113095","2343184","","1","3.0","20083","Flour, bread, white, enriched, unbleached","C","10205","1 cup","411.0","301",""
"113105","2343185","","1","100.0","3217","Zwieback","GM","0","NONE","100.0","0",""
"113106","2343186","","1","100.0","18967","Bread, white wheat","GM","0","NONE","100.0","0",""
"113107","2343187","","1","100.0","18967","Bread, white wheat","GM","0","NONE","100.0","306",""
"113108","2343188","","1","100.0","18968","Bagels, wheat","GM","0","NONE","100.0","0",""
"113109","2343189","","1","100.0","18075","Bread, whole-wheat, commercially prepared","GM","0","NONE","100.0","0",""
"113110","2343190","","1","100.0","18075","Bread, whole-wheat, commercially prepared","GM","0","NONE","100.0","306",""
"113116","2343191","","6","6.4","4615","Shortening, vegetable, household, composite","GM","0","NONE","6.4","0",""
"113111","2343191","","1","0.5","14411","Beverages, water, tap, drinking","C","10205","1 cup","118.5","0",""
"113114","2343191","","4","1.0","19335","Sugars, granulated","TB","10205","1 cup","12.5","0",""
"113115","2343191","","5","0.5","1001","Butter, stick, salted","","21000","1 tablespoon","7.0","0",""
"113118","2343191","","8","3.0","20080","Flour, whole wheat, unenriched","","10205","1 cup","360.0","301",""
"113117","2343191","","7","1.0","18375","Leavening agents, yeast, baker's, active dry","","62993","1/4 oz package","7.0","0",""
"113113","2343191","","3","1.5","2047","Salt, table, iodized","","22000","1 teaspoon","9.0","0",""
"113112","2343191","","2","0.5","11100000","Milk, NFS","","10205","1 cup","122.0","2152",""
"113119","2343192","","1","100.0","51300140","Bread, whole wheat, made from home recipe or purchased at bakery","GM","0","NONE","100.0","306",""
"113120","2343193","","1","100.0","28285","Bread, chapati or roti, whole wheat, commercially prepared, frozen","GM","0","NONE","100.0","306",""
"113121","2343194","","1","0.75","20080","Flour, whole wheat, unenriched","C","10205","1 cup","90.0","305",""
"113122","2343194","","2","0.75","20081","Flour, wheat, all-purpose, enriched, bleached","C","10205","1 cup","93.75","305",""
"113124","2343194","","4","0.25","2047","Salt, table, iodized","TS","10205","1 cup","1.5","0",""
"113125","2343194","","5","0.5","14411","Beverages, water, tap, drinking","C","10205","1 cup","118.5","0",""
"113126","2343194","","6","50.3","82101000","Vegetable oil, NFS","GM","0","NONE","50.3","0",""
"113123","2343194","","3","7.0","82101000","Vegetable oil, NFS","TS","10205","1 cup","32.667","0",""
"113127","2343195","","1","100.0","28286","Bread, paratha, whole wheat, commercially prepared, frozen","GM","0","NONE","100.0","306",""
"113135","2343196","","8","3.0","20080","Flour, whole wheat, unenriched","C","10205","1 cup","360.0","301",""
"113130","2343196","","3","1.5","2047","Salt, table, iodized","TS","10205","1 cup","9.0","0",""
"113139","2343196","","12","1.5","1001","Butter, stick, salted","TS","10205","1 cup","7.0","0",""
"113136","2343196","","9","0.75","9298","Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)","C","10205","1 cup","120.0","251",""
"113133","2343196","","6","6.406","4615","Shortening, vegetable, household, composite","GM","0","NONE","6.406","0",""
"113131","2343196","","4","1.0","19335","Sugars, granulated","TB","10205","1 cup","12.5","0",""
"113128","2343196","","1","0.5","14411","Beverages, water, tap, drinking","C","10205","1 cup","118.5","0",""
"113132","2343196","","5","0.5","1001","Butter, stick, salted","TB","10205","1 cup","7.0","0",""
"113138","2343196","","11","1.0","2010","Spices, cinnamon, ground","TB","21000","1 tablespoon","7.8","0",""
"113129","2343196","","2","0.5","11100000","Milk, NFS","C","10205","1 cup","122.0","2152",""
"113137","2343196","","10","0.25","19335","Sugars, granulated","C","10205","1 cup","50.0","0",""
"113134","2343196","","7","1.0","18375","Leavening agents, yeast, baker's, active dry","","62993","1/4 oz package","7.0","0",""
"113140","2343197","","1","100.0","51300210","Bread, whole wheat, with raisins","GM","0","NONE","100.0","306",""
"113141","2343198","","1","100.0","28316","Bread, wheat, sprouted","GM","0","NONE","100.0","0",""
"113142","2343199","","1","100.0","28316","Bread, wheat, sprouted","GM","0","NONE","100.0","306",""
"113143","2343200","","1","100.0","18064","Bread, wheat","GM","0","NONE","100.0","0",""
"113144","2343201","","1","100.0","18064","Bread, wheat","GM","0","NONE","100.0","306",""
"113145","2343202","","1","0.5","14411","Beverages, water, tap, drinking","C","10205","1 cup","118.5","0",""
"113152","2343202","","8","2.0","20083","Flour, bread, white, enriched, unbleached","C","10205","1 cup","274.0","301",""
"113147","2343202","","3","1.5","2047","Salt, table, iodized","","22000","1 teaspoon","9.0","0",""
"113151","2343202","","7","1.0","18375","Leavening agents, yeast, baker's, active dry","","62993","1/4 oz package","7.0","0",""
"113149","2343202","","5","0.5","1001","Butter, stick, salted","TB","10205","1 cup","7.0","0",""
"113150","2343202","","6","6.406","4615","Shortening, vegetable, household, composite","GM","0","NONE","6.406","0",""
"113148","2343202","","4","1.0","19335","Sugars, granulated","TB","10205","1 cup","12.5","0",""
"113153","2343202","","9","1.0","20080","Flour, whole wheat, unenriched","C","10205","1 cup","120.0","301",""
"113146","2343202","","2","0.5","11100000","Milk, NFS","","10205","1 cup","122.0","2152",""
"113154","2343203","","1","100.0","51301040","Bread, wheat or cracked wheat, made from home recipe or purchased at bakery","GM","0","NONE","100.0","306",""
"113157","2343204","","3","1.5","2047","Salt, table, iodized","TS","10205","1 cup","9.0","0",""
"113163","2343204","","9","0.75","9298","Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)","C","10205","1 cup","120.0","251",""
"113165","2343204","","11","1.0","2010","Spices, cinnamon, ground","TB","21000","1 tablespoon","7.8","0",""
"113167","2343204","","13","1.0","20080","Flour, whole wheat, unenriched","C","10205","1 cup","120.0","301",""
